model,score,num_boost_round,epochs,batch_size,lr
LightGBM Regressor,3943.9299674037643,1342.0,,,
XGBoost Regressor,4466.514489487106,1406.0,,,
XGBoost Regressor,4466.355550665844,1255.0,,,
XGBoost Regressor,4466.560779848986,1723.0,,,
XGBoost Regressor,4466.552874928283,1932.0,,,
LightGBM Regressor,3939.530429440801,778.0,,,
XGBoost Regressor,4466.554221336233,1847.0,,,
XGBoost Regressor,4466.30792148432,1152.0,,,
FNN Regressor,77330.58972182113,,270.0,16.0,0.001
FNN Regressor,77330.46882170996,,250.0,16.0,0.001
FNN Regressor,76153.87415459366,,250.0,16.0,0.01
FNN Regressor,76164.77477001304,,250.0,64.0,0.01
FNN Regressor,75372.46883631266,,250.0,16.0,0.01
FNN Regressor,76132.67796633187,,250.0,64.0,0.01
FNN Regressor,76047.73659729493,,250.0,64.0,0.01
FNN Regressor,75433.33844692561,,250.0,32.0,0.01
FNN Regressor,76130.38216747636,,250.0,64.0,0.01
FNN Regressor,76138.53766138732,,250.0,16.0,0.01
FNN Regressor,76602.84770950253,,180.0,16.0,0.01
FNN Regressor,75212.30199654854,,310.0,16.0,0.01
FNN Regressor,75590.98286889176,,310.0,16.0,0.01
FNN Regressor,75594.4565351185,,310.0,16.0,0.01
FNN Regressor,74946.69635687408,,310.0,64.0,0.01
Logistic Regressor,58527.331019086785,,220.0,128.0,0.001
Logistic Regressor,76799.34070228176,,210.0,128.0,0.001
Logistic Regressor,70216.0770022194,,310.0,128.0,0.001
XGBoost Regressor,4466.509769293715,1401.0,,,
XGBoost Regressor,4462.995698280833,637.0,,,
XGBoost Regressor,4466.2379262254335,1061.0,,,
XGBoost Regressor,4466.346361124835,1146.0,,,
XGBoost Regressor,4466.525694257668,1415.0,,,
XGBoost Regressor,4460.357596507172,530.0,,,
XGBoost Regressor,4460.550419600459,483.0,,,
XGBoost Regressor,4465.071925453515,818.0,,,
FNN Regressor,75395.57169712188,,310.0,32.0,0.01
FNN Regressor,75564.64747059379,,310.0,16.0,0.01
FNN Regressor,76973.27906816917,,130.0,16.0,0.01
FNN Regressor,77107.67645618308,,130.0,16.0,0.01
FNN Regressor,77111.2852164596,,130.0,16.0,0.01
FNN Regressor,75431.32947436787,,240.0,16.0,0.01
FNN Regressor,77251.73028099809,,240.0,16.0,0.003
FNN Regressor,77237.34816317269,,240.0,32.0,0.003
FNN Regressor,77241.68793861911,,240.0,128.0,0.003
FNN Regressor,69645.24821833675,,240.0,128.0,0.03
FNN Regressor,63528.13506055931,,240.0,256.0,0.03
FNN Regressor,67457.20186156973,,240.0,128.0,0.03
FNN Regressor,64059.59982775482,,240.0,256.0,0.03
FNN Regressor,77332.79141530118,,240.0,256.0,0.001
MLP Regressor,8000.320530126239,,370.0,64.0,0.001
MLP Regressor,8808.44119121321,,370.0,64.0,0.0003
MLP Regressor,8631.183583579355,,490.0,64.0,0.0003
MLP Regressor,11874.56960135596,,490.0,64.0,0.0001
MLP Regressor,13457.135839448512,,490.0,64.0,0.0001
MLP Regressor,15337.656948034537,,390.0,64.0,0.0001
MLP Regressor,7948.917931529008,,390.0,64.0,0.001
LightGBM Regressor,3948.6006415893758,1528.0,,,
MLP Regressor,7964.477918335843,,390.0,32.0,0.001
MLP Regressor,7736.505898137253,,440.0,32.0,0.001
MLP Regressor,7813.8023651792,,440.0,128.0,0.001
MLP Regressor,7992.950094198377,,440.0,128.0,0.001
MLP Regressor,7922.295209766129,,470.0,128.0,0.001
MLP Regressor,7933.228666747672,,470.0,256.0,0.001
MLP Regressor,13230.968893441408,,470.0,256.0,0.0001
MLP Regressor,14872.793304029157,,390.0,256.0,0.0001
MLP Regressor,14761.897495596366,,390.0,64.0,0.0001
MLP Regressor,13842.752686433676,,450.0,64.0,0.0001
MLP Regressor,14267.705354043723,,450.0,128.0,0.0001
MLP Regressor,13198.674959764345,,450.0,128.0,0.0001
XGBoost Regressor,4466.095077221779,925.0,,,
XGBoost Regressor,4457.402431824037,140.0,,,
XGBoost Regressor,4452.414951627573,230.0,,,
MLP Regressor,8689.367626675217,,450.0,128.0,0.0003
MLP Regressor,8664.846108017311,,440.0,128.0,0.0003
MLP Regressor,8703.20664075946,,440.0,128.0,0.0003
MLP Regressor,8851.538435118895,,390.0,128.0,0.0003
MLP Regressor,13593.74551473384,,390.0,128.0,0.0001
MLP Regressor,19205.558642528005,,260.0,128.0,0.0001
MLP Regressor,31563.45610275919,,200.0,128.0,0.0001
MLP Regressor,8605.707786325753,,200.0,128.0,0.001
MLP Regressor,9530.801626603405,,120.0,128.0,0.001
MLP Regressor,9081.094598962922,,120.0,256.0,0.001
LightGBM Regressor,3951.4497016361547,1600.0,,,
LightGBM Regressor,3951.806431706531,1605.0,,,
LightGBM Regressor,3941.2314561510448,776.0,,,
LightGBM Regressor,3955.7292736854697,702.0,,,
XGBoost Regressor,4473.15423248497,95.0,,,
MLP Regressor,10156.862109532074,,130.0,256.0,0.001
MLP Regressor,9833.910904156704,,130.0,256.0,0.001
MLP Regressor,9083.921877601855,,130.0,64.0,0.001
MLP Regressor,9347.184552863962,,130.0,32.0,0.001
MLP Regressor,14994.011049491326,,50.0,32.0,0.001
FNN Regressor,76332.72197128857,,240.0,256.0,0.01
FNN Regressor,73802.99198755201,,410.0,256.0,0.01
FNN Regressor,74186.1304431041,,410.0,64.0,0.01
MLP Regressor,8479.593456760998,,170.0,32.0,0.001
LightGBM Regressor,3953.8462597669723,587.0,,,
