,model,score,std_dev,r2,num_boost_round,epochs,batch_size,lr
379,XGBoost Regressor,2626.836406249997,,,1114.0,,,
380,XGBoost Regressor,2626.836406249997,,,1249.0,,,
381,XGBoost Regressor,2626.836406249997,,,1701.0,,,
382,XGBoost Regressor,2626.836406249997,,,1958.0,,,
383,XGBoost Regressor,2626.836406249997,,,1298.0,,,
384,XGBoost Regressor,2626.836406249997,,,1726.0,,,
385,XGBoost Regressor,2626.836406249997,,,1093.0,,,
386,XGBoost Regressor,2626.836406249997,,,1365.0,,,
387,XGBoost Regressor,2626.836406249997,,,1383.0,,,
388,XGBoost Regressor,2626.836406249997,,,725.0,,,
389,XGBoost Regressor,2626.836406249997,,,265.0,,,
390,XGBoost Regressor,2626.836406249997,,,1104.0,,,
391,XGBoost Regressor,2626.836406249997,,,951.0,,,
392,XGBoost Regressor,2626.836406249997,,,625.0,,,
393,XGBoost Regressor,2626.836406249997,,,117.0,,,
394,XGBoost Regressor,2626.836406249997,,,1020.0,,,
395,XGBoost Regressor,2626.836406249997,,,628.0,,,
396,XGBoost Regressor,2626.836406249997,,,503.0,,,
397,XGBoost Regressor,2626.836406249997,,,1366.0,,,
398,XGBoost Regressor,2626.836406249997,,,831.0,,,
399,XGBoost Regressor,2626.836406249997,,,464.0,,,
400,XGBoost Regressor,2626.836406249997,,,1258.0,,,
401,XGBoost Regressor,2626.836406249997,,,461.0,,,
402,XGBoost Regressor,2626.836406249997,,,780.0,,,
403,XGBoost Regressor,2626.836406249997,,,438.0,,,
404,XGBoost Regressor,2626.836406249997,,,1404.0,,,
405,XGBoost Regressor,2626.836406249997,,,1045.0,,,
406,XGBoost Regressor,2626.836406249997,,,1228.0,,,
407,XGBoost Regressor,2626.836406249997,,,338.0,,,
408,XGBoost Regressor,2626.836406249997,,,719.0,,,
409,XGBoost Regressor,2626.840312499997,,,81.0,,,
410,XGBoost Regressor,2626.836406249997,,,760.0,,,
411,XGBoost Regressor,2626.836406249997,,,407.0,,,
412,XGBoost Regressor,2626.836406249997,,,280.0,,,
413,XGBoost Regressor,2626.836406249997,,,272.0,,,
